,Tarifa,Estado,Municipio,Division,Anio,Mes,Cargo,Unidades,Costo
173, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,JULIO,Variable(Energía),$/kWh,3.746
174, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,AGOSTO,Fijo,$/mes,27.78
175, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,AGOSTO,Variable(Energía),$/kWh,3.761
176, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,SEPTIEMBRE,Fijo,$/mes,27.78
177, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,SEPTIEMBRE,Variable(Energía),$/kWh,3.776
178, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,OCTUBRE,Fijo,$/mes,27.78
179, PDBT,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,2022,OCTUBRE,Variable(Energía),$/kWh,3.786
180, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,ENERO,Fijo,$/mes,27.78
181, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,ENERO,Variable(Energía),$/kWh,3.605
182, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,FEBRERO,Fijo,$/mes,27.78
183, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,FEBRERO,Variable(Energía),$/kWh,3.626
184, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,MARZO,Fijo,$/mes,27.78
185, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,MARZO,Variable(Energía),$/kWh,3.626
186, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,ABRIL,Fijo,$/mes,27.78
187, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,ABRIL,Variable(Energía),$/kWh,3.699
188, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,MAYO,Fijo,$/mes,27.78
189, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,MAYO,Variable(Energía),$/kWh,3.755
190, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,JUNIO,Fijo,$/mes,27.78
191, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,JUNIO,Variable(Energía),$/kWh,3.676
192, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,JULIO,Fijo,$/mes,27.78
193, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,JULIO,Variable(Energía),$/kWh,3.746
194, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,AGOSTO,Fijo,$/mes,27.78
195, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,AGOSTO,Variable(Energía),$/kWh,3.761
