,Tarifa,Anio,Verano,Mes,Consumo,Precio,kwh,Minimo
301, 1A,2021,MARZO,MAYO,Consumointermedio,0.892,50,25
302, 1A,2021,MARZO,MAYO,Consumoexcedente,3.058,,25
303, 1A,2021,MARZO,JUNIO,Consumobasico,0.769,100,25
304, 1A,2021,MARZO,JUNIO,Consumointermedio,0.894,50,25
305, 1A,2021,MARZO,JUNIO,Consumoexcedente,3.066,,25
306, 1A,2021,MARZO,JULIO,Consumobasico,0.771,100,25
307, 1A,2021,MARZO,JULIO,Consumointermedio,0.896,50,25
308, 1A,2021,MARZO,JULIO,Consumoexcedente,3.074,,25
309, 1A,2021,MARZO,AGOSTO,Consumobasico,0.773,100,25
310, 1A,2021,MARZO,AGOSTO,Consumointermedio,0.898,50,25
311, 1A,2021,MARZO,AGOSTO,Consumoexcedente,3.082,,25
312, 1A,2021,MARZO,SEPTIEMBRE,Consumobasico,0.871,75,25
313, 1A,2021,MARZO,SEPTIEMBRE,Consumointermedio,1.058,75,25
314, 1A,2021,MARZO,SEPTIEMBRE,Consumoexcedente,3.09,,25
315, 1A,2021,MARZO,OCTUBRE,Consumobasico,0.873,75,25
316, 1A,2021,MARZO,OCTUBRE,Consumointermedio,1.061,75,25
317, 1A,2021,MARZO,OCTUBRE,Consumoexcedente,3.098,,25
318, 1A,2021,MARZO,NOVIEMBRE,Consumobasico,0.875,75,25
319, 1A,2021,MARZO,NOVIEMBRE,Consumointermedio,1.064,75,25
320, 1A,2021,MARZO,NOVIEMBRE,Consumoexcedente,3.106,,25
321, 1A,2021,MARZO,DICIEMBRE,Consumobasico,0.877,75,25
322, 1A,2021,MARZO,DICIEMBRE,Consumointermedio,1.067,75,25
323, 1A,2021,MARZO,DICIEMBRE,Consumoexcedente,3.115,,25
324, 1A,2021,ABRIL,ENERO,Consumobasico,0.855,75,25
325, 1A,2021,ABRIL,ENERO,Consumointermedio,1.034,75,25
326, 1A,2021,ABRIL,ENERO,Consumoexcedente,3.026,,25
327, 1A,2021,ABRIL,FEBRERO,Consumobasico,0.857,75,25
328, 1A,2021,ABRIL,FEBRERO,Consumointermedio,1.037,75,25
329, 1A,2021,ABRIL,FEBRERO,Consumoexcedente,3.034,,25
330, 1A,2021,ABRIL,MARZO,Consumobasico,0.859,75,25
331, 1A,2021,ABRIL,MARZO,Consumointermedio,1.040,75,25
332, 1A,2021,ABRIL,MARZO,Consumoexcedente,3.042,,25
333, 1A,2021,ABRIL,ABRIL,Consumobasico,0.765,100,25
334, 1A,2021,ABRIL,ABRIL,Consumointermedio,0.890,50,25
335, 1A,2021,ABRIL,ABRIL,Consumoexcedente,3.05,,25
336, 1A,2021,ABRIL,MAYO,Consumobasico,0.767,100,25
337, 1A,2021,ABRIL,MAYO,Consumointermedio,0.892,50,25
338, 1A,2021,ABRIL,MAYO,Consumoexcedente,3.058,,25
339, 1A,2021,ABRIL,JUNIO,Consumobasico,0.769,100,25
340, 1A,2021,ABRIL,JUNIO,Consumointermedio,0.894,50,25
341, 1A,2021,ABRIL,JUNIO,Consumoexcedente,3.066,,25
342, 1A,2021,ABRIL,JULIO,Consumobasico,0.771,100,25
343, 1A,2021,ABRIL,JULIO,Consumointermedio,0.896,50,25
344, 1A,2021,ABRIL,JULIO,Consumoexcedente,3.074,,25
345, 1A,2021,ABRIL,AGOSTO,Consumobasico,0.773,100,25
346, 1A,2021,ABRIL,AGOSTO,Consumointermedio,0.898,50,25
347, 1A,2021,ABRIL,AGOSTO,Consumoexcedente,3.082,,25
348, 1A,2021,ABRIL,SEPTIEMBRE,Consumobasico,0.775,100,25
349, 1A,2021,ABRIL,SEPTIEMBRE,Consumointermedio,0.900,50,25
350, 1A,2021,ABRIL,SEPTIEMBRE,Consumoexcedente,3.09,,25
351, 1A,2021,ABRIL,OCTUBRE,Consumobasico,0.873,75,25
352, 1A,2021,ABRIL,OCTUBRE,Consumointermedio,1.061,75,25
353, 1A,2021,ABRIL,OCTUBRE,Consumoexcedente,3.098,,25
354, 1A,2021,ABRIL,NOVIEMBRE,Consumobasico,0.875,75,25
355, 1A,2021,ABRIL,NOVIEMBRE,Consumointermedio,1.064,75,25
356, 1A,2021,ABRIL,NOVIEMBRE,Consumoexcedente,3.106,,25
357, 1A,2021,ABRIL,DICIEMBRE,Consumobasico,0.877,75,25
358, 1A,2021,ABRIL,DICIEMBRE,Consumointermedio,1.067,75,25
359, 1A,2021,ABRIL,DICIEMBRE,Consumoexcedente,3.115,,25
360, 1A,2021,MAYO,ENERO,Consumobasico,0.855,75,25
361, 1A,2021,MAYO,ENERO,Consumointermedio,1.034,75,25
362, 1A,2021,MAYO,ENERO,Consumoexcedente,3.026,,25
363, 1A,2021,MAYO,FEBRERO,Consumobasico,0.857,75,25
364, 1A,2021,MAYO,FEBRERO,Consumointermedio,1.037,75,25
365, 1A,2021,MAYO,FEBRERO,Consumoexcedente,3.034,,25
366, 1A,2021,MAYO,MARZO,Consumobasico,0.859,75,25
367, 1A,2021,MAYO,MARZO,Consumointermedio,1.040,75,25
368, 1A,2021,MAYO,MARZO,Consumoexcedente,3.042,,25
369, 1A,2021,MAYO,ABRIL,Consumobasico,0.861,75,25
370, 1A,2021,MAYO,ABRIL,Consumointermedio,1.043,75,25
371, 1A,2021,MAYO,ABRIL,Consumoexcedente,3.05,,25
372, 1A,2021,MAYO,MAYO,Consumobasico,0.767,100,25
373, 1A,2021,MAYO,MAYO,Consumointermedio,0.892,50,25
374, 1A,2021,MAYO,MAYO,Consumoexcedente,3.058,,25
375, 1A,2021,MAYO,JUNIO,Consumobasico,0.769,100,25
376, 1A,2021,MAYO,JUNIO,Consumointermedio,0.894,50,25
377, 1A,2021,MAYO,JUNIO,Consumoexcedente,3.066,,25
378, 1A,2021,MAYO,JULIO,Consumobasico,0.771,100,25
379, 1A,2021,MAYO,JULIO,Consumointermedio,0.896,50,25
380, 1A,2021,MAYO,JULIO,Consumoexcedente,3.074,,25
381, 1A,2021,MAYO,AGOSTO,Consumobasico,0.773,100,25
382, 1A,2021,MAYO,AGOSTO,Consumointermedio,0.898,50,25
383, 1A,2021,MAYO,AGOSTO,Consumoexcedente,3.082,,25
384, 1A,2021,MAYO,SEPTIEMBRE,Consumobasico,0.775,100,25
385, 1A,2021,MAYO,SEPTIEMBRE,Consumointermedio,0.900,50,25
386, 1A,2021,MAYO,SEPTIEMBRE,Consumoexcedente,3.09,,25
